Name,Input List,Start Frame,Area AVG,Area STD,RG AVG,RG STD,RDF Peak,Coordination at Minimum,backbone_length,mean_charge,sum_charge,max_charge,min_charge,std_charge,mean_length,max_length,std_length,max_S_block,max_E_block,transitions,max_block_size,min_block_size,mean_block_size,std_block_size,blockiness,gini,max_fft_value,mean_fft_value,sum_fft_value,std_fft_value,hydrophobic_ratio,hydrophobic_ratio_weighted,harwoods_blockiness,mayo_lewis
polymerA1,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4, 6, 4, 6, 4, 6, 4, 6, 4, 6, 4]",830.0,13932.25742455214,320.24571707325777,18.827689307757787,0.130057068049395,1.7723091804126785,3.7731785714285713,20,0.5,10,6,-4,4.55521678957215,4.5,6,0.8660254037844386,10,10,1,10,10,10.0,0.0,0.9473684210526315,0.08333333333333326,57.54098712174575,12.167232871825309,243.34465743650617,16.4911626104036,0.5,0.5555555555555556,-0.052631578947368474,1.0
polymerA2,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2]",830.0,13925.018799355432,271.3695847521062,19.595126277378625,0.0881043389626336,1.8071338771257448,4.246339285714285,20,0.5,10,8,-4,4.9749371855331,4.5,8,2.179449471770337,10,10,1,10,10,10.0,0.0,0.9473684210526315,0.25,57.61220256154425,14.443926912273174,288.87853824546346,17.069650709751233,0.5,0.5555555555555556,-0.052631578947368474,1.0
polymerA3,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4, 10, 0, 10, 0, 10, 0, 10, 0, 10, 0]",830.0,13562.25867408103,260.49973106844186,20.87217034612384,0.207960187933779,1.7634690650932083,4.242928571428571,20,0.5,10,10,-4,5.722761571129799,4.5,10,3.570714214271425,1,10,1,10,1,2.5,3.3541019662496847,0.9285714285714286,0.4166666666666665,57.75436999991772,17.109759060924105,342.1951812184821,19.163928221456203,0.3333333333333333,0.5555555555555556,-0.3333333333333333,0.5
polymerA4,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40]",830.0,12578.201381474784,246.68108329879183,21.968153112956465,0.1967161873565238,1.7606563011279222,3.725571428571429,20,0.5,10,40,-4,9.630680142129112,4.5,40,8.52936105461599,2,10,1,10,2,6.0,4.0,0.9090909090909091,0.6499999999999999,60.55435233464503,41.63630387690097,832.7260775380194,11.243584814033344,0.16666666666666666,0.5555555555555556,-0.05263157894736843,0.2
polymerA5,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50]",830.0,12742.920512763283,242.0183639427613,22.44028607777188,0.1628689735218771,1.776059532366393,4.213017857142858,20,0.5,10,50,-4,11.521718621802913,4.5,50,10.618380290797651,1,10,1,10,1,5.5,4.5,0.9,0.7055555555555555,59.61388538775998,50.637165438764285,1012.7433087752856,9.791704464862894,0.09090909090909091,0.5555555555555556,-0.052631578947368425,0.1
polymerJ1,"[-6, 5, -2, 9, 8, -1, 9, 8, 9, -7, -2, -4, 7, 5, 2]",830.0,15054.98751982415,309.8330321362426,19.6072518662044,0.127845880896946,1.3089702435855437,3.103181818181818,15,2.6666666666666665,40,9,-7,5.641118880348315,5.6,9,2.7519689920733725,3,3,7,3,1,1.875,0.9270248108869579,0.5,0.2777777777777779,40.0,22.631820567142523,339.4773085071378,8.4735292420965,0.6,0.7380952380952381,-0.607142857142857,1.4999999999999998
polymerJ10,"[4, -4, 6, 1, 2, -4, 7, -7, 0, 7, 8, -7, -6, 3, 8]",830.0,15235.466943947977,375.8895249273794,18.1143916961125,0.0829863223155148,1.8034217940695176,4.2584183673469385,15,1.2,18,8,-7,5.393823628311677,4.933333333333334,8,2.4890872936792627,3,2,8,3,1,1.5555555555555556,0.6849348892187752,0.38461538461538464,0.2810810810810811,35.936770843523455,18.214678395295874,273.2201759294381,11.235011836039234,0.6428571428571429,0.6216216216216216,-0.7857142857142857,1.7999999999999998
polymerJ100,"[-2, 9, 6, 1, -7, -3, 0, -9, 0, 0, -9, -2, 6, 1, -6, 2, -2, 9, -4, 0]",830.0,13493.113405981914,330.4213934319747,17.84058334418705,0.1156775744734903,1.7834871774695302,4.109188311688312,20,-0.5,-10,9,-9,5.094114250780011,3.9,9,3.315116890850155,3,2,8,3,1,1.4545454545454546,0.6555547773570889,0.4666666666666667,0.4756410256410255,33.9349274387569,21.178389839724755,423.5677967944951,8.687681151874946,0.4375,0.4358974358974359,-0.2955465587044534,0.7777777777777776
polymerJ101,"[2, 3, 7, 1, 0, 6, -4, 8, 9, 9, -6, 0, 0, 0, -8, -8, 2, 2, -3]",830.0,13836.229936724878,404.4968659065934,19.17767551967076,0.1292419480418633,1.7661755998775388,3.940566502463055,19,1.0526315789473684,20,9,-8,5.134749358004642,4.105263157894737,9,3.258910648507941,4,2,5,4,1,1.875,1.0532687216470449,0.6428571428571429,0.4493927125506074,35.334203832482096,21.092088047745833,400.7496729071708,8.782016954329876,0.6666666666666666,0.6282051282051282,-0.4074074074074074,2.0
polymerJ102,"[4, 6, 3, 4, 7, -6, 8, 4, -3, -2, 8, 3, -2, 0, 0, 9, -4, -5, 3]",830.0,14899.447812571936,357.1262594556755,19.24098984582083,0.1406514579631421,1.4273255065404409,3.348019480519479,19,1.9473684210526316,37,9,-6,4.536097142403209,4.2631578947368425,9,2.488755877376187,5,2,8,5,1,1.8888888888888888,1.1967032904743342,0.5,0.32748538011695905,37.0,19.874567988504076,377.61679178157743,8.246305067745736,0.6470588235294118,0.7283950617283951,-0.5833333333333335,1.8333333333333337
